rating,reviews_count,url,price_numeric,currency,asin,title,image_url,rank,price,brand
4.5,41,https://www.amazon.ae/Nature-Valley-Granola-Artificial-Preservatives/dp/B00WBEHW68/ref=zg_bs_g_15160028031_d_sccl_1/257-7458877-4671368?psc=1,17.5,AED,B00WBEHW68,"Nature Valley Granola Bar 42g x 5 Double Bars, Oats & Berries, 100% Natural Whole Grain Oats, No Artificial Colors, Flavors And Preservatives","https://images-eu.ssl-images-amazon.com/images/I/815HKHY71OL._AC_UL600_SR600,400_.jpg",1,AED 17.50,Nature Valley
4,1006,https://www.amazon.ae/Optimum-Nutrition-Standard-Protein-Recovery/dp/B09VM9VGCC/ref=zg_bs_g_15160028031_d_sccl_2/257-7458877-4671368?psc=1,132.75,AED,B09VM9VGCC,"Optimum Nutrition (ON) Gold Standard 100% Plant Based Protein Powder, Gluten Free, Vegan Protein for Muscle Support and Recovery with Amino Acids - Creamy Vanilla, 740 G, 20 Servings","https://images-eu.ssl-images-amazon.com/images/I/71LXetvcqyL._AC_UL600_SR600,400_.jpg",2,AED 132.75,Optimum Nutrition
4.4,160,https://www.amazon.ae/Nature-Valley-Granola-Artificial-Preservatives/dp/B0B29C15HB/ref=zg_bs_g_15160028031_d_sccl_3/257-7458877-4671368?psc=1,31.4,AED,B0B29C15HB,"Nature Valley Granola Bar 21g x 20 Single Bars, Oats & Honey, 100% Natural Whole Grain Oats, No Artificial Colors, Flavors And Preservatives","https://images-eu.ssl-images-amazon.com/images/I/810z+q+H-WL._AC_UL600_SR600,400_.jpg",3,AED 31.40,Nature Valley
4.2,171,https://www.amazon.ae/BE-KIND-Chocolate-Clusters-Artificial-Preservatives/dp/B0CFFSDS6R/ref=zg_bs_g_15160028031_d_sccl_4/257-7458877-4671368?psc=1,13.95,AED,B0CFFSDS6R,"BE-KIND Dark Chocolate Nuts & Sea Salt 80g Nut Clusters, Gluten Free Snacks, High Fibre, No Artificial Preservatives, No Artificial Colors, No Artificial Flavours","https://images-eu.ssl-images-amazon.com/images/I/719KdacsYNL._AC_UL600_SR600,400_.jpg",4,AED 13.95,BE-KIND
4.3,151,https://www.amazon.ae/Nature-Valley-Chocolate-Artificial-Preservatives/dp/B0B6JGD4SW/ref=zg_bs_g_15160028031_d_sccl_5/257-7458877-4671368?psc=1,30,AED,B0B6JGD4SW,"Nature Valley Granola Bar 21g x 20 Single Bars, Oats & Chocolate, 100% Natural Whole Grain Oats, No Artificial Colors, Flavors And Preservatives","https://images-eu.ssl-images-amazon.com/images/I/81BZ4ljim1L._AC_UL600_SR600,400_.jpg",5,AED 30.00,Nature Valley
4.5,320,https://www.amazon.ae/BE-KIND-Roasted-Artificial-Preservatives-Flavours/dp/B08VRP75L4/ref=zg_bs_g_15160028031_d_sccl_6/257-7458877-4671368?psc=1,16.5,AED,B08VRP75L4,"BE-KIND Honey Roasted Nut & Sea Salt, Pack of 3x30g Snack Bar, Gluten Free Snacks, High Fibre, Source of Protein, No Artificial Preservatives, No Artificial Colors, No Artificial Flavours","https://images-eu.ssl-images-amazon.com/images/I/71J29mv+BkL._AC_UL600_SR600,400_.jpg",6,AED 16.50,BE-KIND
4.5,586,https://www.amazon.ae/BE-KIND-Chocolate-Artificial-Preservatives-Flavours/dp/B086DVDWXT/ref=zg_bs_g_15160028031_d_sccl_7/257-7458877-4671368?psc=1,,,B086DVDWXT,"BE-KIND Dark Chocolate Nuts & Sea Salt Pack of 12x40g Snack Bar, Gluten Free Snacks, High Fibre, Source of Protein, No Artificial Preservatives, No Artificial Colors, No Artificial Flavours","https://images-eu.ssl-images-amazon.com/images/I/71IZmlwwFzL._AC_UL600_SR600,400_.jpg",7,,BE-KIND
4.6,25,https://www.amazon.ae/Fitness-Nestle-Chocolate-Cereal-23-5g/dp/B077XW5LN5/ref=zg_bs_g_15160028031_d_sccl_8/257-7458877-4671368?psc=1,,,B077XW5LN5,Fitness Nestle Fitness Chocolate Cereal Bar 23.5g,"https://images-eu.ssl-images-amazon.com/images/I/71oWg2iD4IL._AC_UL600_SR600,400_.jpg",8,,Fitness
3.4,3,https://www.amazon.ae/BeFit-Protein-Fudge-Brownie-Flavor/dp/B0DV5J12L1/ref=zg_bs_g_15160028031_d_sccl_9/257-7458877-4671368?psc=1,,,B0DV5J12L1,"BeFit Protein Cake Bar, Fudge Brownie Flavor, Low Carb, High Protein 15g, 3 Bars x 45g, With Milk Whey Protein Blend","https://images-eu.ssl-images-amazon.com/images/I/51hredtRqWL._AC_UL600_SR600,400_.jpg",9,,BeFit
4,42,https://www.amazon.ae/PediaSure-Vanilla-Nutrition-Powder-Children/dp/B0CQC6C7YK/ref=zg_bs_g_15160028031_d_sccl_10/257-7458877-4671368?psc=1,39.95,AED,B0CQC6C7YK,"PediaSure 10+ Vanilla Nutrition Powder for Children 10+ Years, 360g | Supports Growth & Development | Triple Sure Growth System | 37 Key Nutrients with Arginine & Natural Vitamin K2","https://images-eu.ssl-images-amazon.com/images/I/61UqOQv2JoL._AC_UL600_SR600,400_.jpg",10,AED 39.95,PediaSure
